[-0.4075, -0.3875] ; [0.915472, 0.935472] ; [1.36485, 1.38485]
[-0.404767, -0.384767] ; [0.915457, 0.935457] ; [1.36441, 1.38441]
[-0.399261, -0.379261] ; [0.915564, 0.935564] ; [1.36358, 1.38358]
[-0.396549, -0.376549] ; [0.915536, 0.935536] ; [1.36313, 1.38313]
[-0.393858, -0.373858] ; [0.915545, 0.935545] ; [1.36266, 1.38266]
[-0.391116, -0.371116] ; [0.915541, 0.935541] ; [1.36225, 1.38225]
[-0.388445, -0.368445] ; [0.91544, 0.93544] ; [1.36181, 1.38181]
[-0.385754, -0.365754] ; [0.915454, 0.935454] ; [1.36133, 1.38133]
[-0.383126, -0.363126] ; [0.915419, 0.935419] ; [1.36087, 1.38087]
[-0.380473, -0.360473] ; [0.915364, 0.935364] ; [1.36047, 1.38047]
[-0.377831, -0.357831] ; [0.915335, 0.935335] ; [1.36002, 1.38002]
[-0.375244, -0.355244] ; [0.91527, 0.93527] ; [1.35954, 1.37954]
[-0.372571, -0.352571] ; [0.915189, 0.935189] ; [1.35909, 1.37909]
[-0.369928, -0.349928] ; [0.915084, 0.935084] ; [1.35867, 1.37867]
[-0.367312, -0.347312] ; [0.914824, 0.934824] ; [1.35812, 1.37812]
[-0.364701, -0.344701] ; [0.914744, 0.934744] ; [1.3576, 1.3776]
[-0.362205, -0.342205] ; [0.914644, 0.934644] ; [1.35719, 1.37719]
[-0.35962, -0.33962] ; [0.914518, 0.934518] ; [1.35673, 1.37673]
[-0.357098, -0.337098] ; [0.914336, 0.934336] ; [1.35622, 1.37622]
[-0.354509, -0.334509] ; [0.914228, 0.934228] ; [1.35577, 1.37577]
[-0.352042, -0.332042] ; [0.913955, 0.933955] ; [1.35522, 1.37522]
[-0.346984, -0.326984] ; [0.91358, 0.93358] ; [1.35423, 1.37423]
[-0.34451, -0.32451] ; [0.913416, 0.933416] ; [1.35373, 1.37373]
[-0.342031, -0.322031] ; [0.91314, 0.93314] ; [1.35319, 1.37319]
[-0.339461, -0.319461] ; [0.912886, 0.932886] ; [1.35263, 1.37263]
[-0.337076, -0.317076] ; [0.912595, 0.932595] ; [1.35207, 1.37207]
[-0.334575, -0.314575] ; [0.912426, 0.932426] ; [1.35156, 1.37156]
[-0.332271, -0.312271] ; [0.912234, 0.932234] ; [1.35109, 1.37109]
[-0.329856, -0.309856] ; [0.911999, 0.931999] ; [1.35056, 1.37056]
[-0.32745, -0.30745] ; [0.911671, 0.931671] ; [1.34998, 1.36998]
[-0.325067, -0.305067] ; [0.9114, 0.9314] ; [1.34942, 1.36942]
[-0.322695, -0.302695] ; [0.911095, 0.931095] ; [1.34886, 1.36886]
[-0.320336, -0.300336] ; [0.910749, 0.930749] ; [1.34829, 1.36829]
[-0.317997, -0.297997] ; [0.910462, 0.930462] ; [1.34774, 1.36774]
[-0.315499, -0.295499] ; [0.909921, 0.929921] ; [1.34706, 1.36706]
[-0.31334, -0.29334] ; [0.909815, 0.929815] ; [1.34659, 1.36659]
[-0.311011, -0.291011] ; [0.909504, 0.929504] ; [1.34606, 1.36606]
[-0.308688, -0.288688] ; [0.908958, 0.928958] ; [1.34541, 1.36541]
[-0.306447, -0.286447] ; [0.90872, 0.92872] ; [1.34491, 1.36491]
[-0.30194, -0.28194] ; [0.907841, 0.927841] ; [1.34369, 1.36369]
[-0.299651, -0.279651] ; [0.907488, 0.927488] ; [1.34313, 1.36313]
[-0.297462, -0.277462] ; [0.907093, 0.927093] ; [1.34254, 1.36254]
[-0.295237, -0.275237] ; [0.906682, 0.926682] ; [1.34201, 1.36201]
[-0.293034, -0.273034] ; [0.906237, 0.926237] ; [1.34138, 1.36138]
[-0.290937, -0.270937] ; [0.905864, 0.925864] ; [1.34086, 1.36086]
[-0.288707, -0.268707] ; [0.905311, 0.925311] ; [1.34019, 1.36019]
[-0.286636, -0.266636] ; [0.905013, 0.925013] ; [1.33967, 1.35967]
[-0.284411, -0.264411] ; [0.904481, 0.924481] ; [1.33903, 1.35903]
[-0.282323, -0.262323] ; [0.903982, 0.923982] ; [1.33843, 1.35843]
[-0.280205, -0.260205] ; [0.903527, 0.923527] ; [1.33788, 1.35788]
[-0.278158, -0.258158] ; [0.903025, 0.923025] ; [1.33726, 1.35726]
[-0.276159, -0.256159] ; [0.902628, 0.922628] ; [1.33671, 1.35671]
[-0.274125, -0.254125] ; [0.902093, 0.922093] ; [1.33609, 1.35609]
[-0.272123, -0.252123] ; [0.90156, 0.92156] ; [1.33546, 1.35546]
[-0.270011, -0.250011] ; [0.900947, 0.920947] ; [1.33477, 1.35477]
[-0.267997, -0.247997] ; [0.900266, 0.920266] ; [1.33406, 1.35406]
[-0.266128, -0.246128] ; [0.89994, 0.91994] ; [1.33355, 1.35355]
[-0.264246, -0.244246] ; [0.899404, 0.919404] ; [1.33291, 1.35291]
[-0.26226, -0.24226] ; [0.898882, 0.918882] ; [1.33227, 1.35227]
[-0.2585, -0.2385] ; [0.897738, 0.917738] ; [1.33095, 1.35095]
[-0.256706, -0.236706] ; [0.897129, 0.917129] ; [1.3303, 1.3503]
[-0.254813, -0.234813] ; [0.896551, 0.916551] ; [1.32965, 1.34965]
[-0.252948, -0.232948] ; [0.895802, 0.915802] ; [1.32891, 1.34891]
[-0.251171, -0.231171] ; [0.895328, 0.915328] ; [1.32838, 1.34838]
[-0.249451, -0.229451] ; [0.894826, 0.914826] ; [1.32775, 1.34775]
[-0.247726, -0.227726] ; [0.894252, 0.914252] ; [1.3271, 1.3471]
[-0.24595, -0.22595] ; [0.89353, 0.91353] ; [1.32636, 1.34636]
[-0.244269, -0.224269] ; [0.893032, 0.913032] ; [1.32572, 1.34572]
[-0.242583, -0.222583] ; [0.892458, 0.912458] ; [1.32503, 1.34503]
[-0.240955, -0.220955] ; [0.891877, 0.911877] ; [1.32435, 1.34435]
[-0.239179, -0.219179] ; [0.891197, 0.911197] ; [1.32358, 1.34358]
[-0.237692, -0.217692] ; [0.890696, 0.910696] ; [1.32298, 1.34298]
[-0.236035, -0.216035] ; [0.890073, 0.910073] ; [1.32227, 1.34227]
[-0.234386, -0.214386] ; [0.889319, 0.909319] ; [1.3215, 1.3415]
[-0.232894, -0.212894] ; [0.888802, 0.908802] ; [1.32089, 1.34089]
[-0.231327, -0.211327] ; [0.888203, 0.908203] ; [1.32018, 1.34018]
[-0.229823, -0.209823] ; [0.887605, 0.907605] ; [1.31949, 1.33949]
[-0.228256, -0.208256] ; [0.886998, 0.906998] ; [1.31878, 1.33878]
[-0.226719, -0.206719] ; [0.886275, 0.906275] ; [1.31797, 1.33797]
[-0.225201, -0.205201] ; [0.885677, 0.905677] ; [1.31725, 1.33725]
[-0.222272, -0.202272] ; [0.884556, 0.904556] ; [1.31588, 1.33588]
[-0.220704, -0.200704] ; [0.883869, 0.903869] ; [1.31508, 1.33508]
[-0.219259, -0.199259] ; [0.883216, 0.903216] ; [1.31434, 1.33434]
[-0.217817, -0.197817] ; [0.882749, 0.902749] ; [1.31369, 1.33369]
[-0.216269, -0.196269] ; [0.882061, 0.902061] ; [1.31294, 1.33294]
[-0.214886, -0.194886] ; [0.881601, 0.901601] ; [1.31233, 1.33233]
[-0.21336, -0.19336] ; [0.880898, 0.900898] ; [1.31154, 1.33154]
[-0.211919, -0.191919] ; [0.880196, 0.900196] ; [1.31077, 1.33077]
[-0.210593, -0.190593] ; [0.879796, 0.899796] ; [1.31024, 1.33024]
[-0.209077, -0.189077] ; [0.879138, 0.899138] ; [1.30953, 1.32953]
[-0.207719, -0.187719] ; [0.878684, 0.898684] ; [1.30894, 1.32894]
[-0.206181, -0.186181] ; [0.877983, 0.897983] ; [1.30816, 1.32816]
[-0.204741, -0.184741] ; [0.877419, 0.897419] ; [1.30745, 1.32745]
[-0.203352, -0.183352] ; [0.876994, 0.896994] ; [1.30686, 1.32686]
[-0.201907, -0.181907] ; [0.87651, 0.89651] ; [1.30621, 1.32621]
[-0.200495, -0.180495] ; [0.875969, 0.895969] ; [1.30555, 1.32555]
[-0.199006, -0.179006] ; [0.875379, 0.895379] ; [1.30483, 1.32483]
[-0.196079, -0.176079] ; [0.874129, 0.894129] ; [1.30342, 1.32342]
[-0.194639, -0.174639] ; [0.873698, 0.893698] ; [1.30281, 1.32281]
[-0.193184, -0.173184] ; [0.873134, 0.893134] ; [1.30214, 1.32214]
[-0.191641, -0.171641] ; [0.87244, 0.89244] ; [1.30136, 1.32136]
[-0.190165, -0.170165] ; [0.871934, 0.891934] ; [1.30069, 1.32069]
[-0.188736, -0.168736] ; [0.871537, 0.891537] ; [1.30009, 1.32009]
[-0.187191, -0.167191] ; [0.871033, 0.891033] ; [1.29939, 1.31939]
[-0.185739, -0.165739] ; [0.870508, 0.890508] ; [1.29875, 1.31875]
[-0.184188, -0.164188] ; [0.869932, 0.889932] ; [1.29805, 1.31805]
[-0.18269, -0.16269] ; [0.869369, 0.889369] ; [1.29736, 1.31736]
[-0.181172, -0.161172] ; [0.868845, 0.888845] ; [1.2967, 1.3167]
[-0.179565, -0.159565] ; [0.868203, 0.888203] ; [1.29596, 1.31596]
[-0.178119, -0.158119] ; [0.867816, 0.887816] ; [1.29536, 1.31536]
[-0.176543, -0.156543] ; [0.867286, 0.887286] ; [1.29466, 1.31466]
[-0.174927, -0.154927] ; [0.866617, 0.886617] ; [1.2939, 1.3139]
[-0.173454, -0.153454] ; [0.866218, 0.886218] ; [1.29332, 1.31332]
[-0.171838, -0.151838] ; [0.865558, 0.885558] ; [1.29257, 1.31257]
[-0.17035, -0.15035] ; [0.865152, 0.885152] ; [1.29196, 1.31196]
