[-0.0727067, 0.127293] ; [0.732266, 0.932266] ; [1.20004, 1.40004]
[-0.067546, 0.132454] ; [0.731639, 0.931639] ; [1.19931, 1.39931]
[-0.0625043, 0.137496] ; [0.731017, 0.931017] ; [1.19859, 1.39859]
[-0.0575279, 0.142472] ; [0.730394, 0.930394] ; [1.19787, 1.39787]
[-0.0526016, 0.147398] ; [0.729767, 0.929767] ; [1.19715, 1.39715]
[-0.0477884, 0.152212] ; [0.729145, 0.929145] ; [1.19644, 1.39644]
[-0.0430427, 0.156957] ; [0.728523, 0.928523] ; [1.19573, 1.39573]
[-0.0383069, 0.161693] ; [0.727891, 0.927891] ; [1.19501, 1.39501]
[-0.033533, 0.166467] ; [0.727245, 0.927245] ; [1.19427, 1.39427]
[-0.029088, 0.170912] ; [0.726633, 0.926633] ; [1.19358, 1.39358]
[-0.02465, 0.17535] ; [0.726003, 0.926003] ; [1.19288, 1.39288]
[-0.0202567, 0.179743] ; [0.725369, 0.925369] ; [1.19217, 1.39217]
[-0.0159331, 0.184067] ; [0.724735, 0.924735] ; [1.19146, 1.39146]
[-0.0116876, 0.188312] ; [0.724102, 0.924102] ; [1.19076, 1.39076]
[-0.00751115, 0.192489] ; [0.723469, 0.923469] ; [1.19006, 1.39006]
[-0.00339653, 0.196603] ; [0.722834, 0.922834] ; [1.18936, 1.38936]
[0.000681006, 0.200681] ; [0.722195, 0.922195] ; [1.18865, 1.38865]
[0.00464825, 0.204648] ; [0.721563, 0.921563] ; [1.18796, 1.38796]
[0.00861425, 0.208614] ; [0.720919, 0.920919] ; [1.18725, 1.38725]
[0.012478, 0.212478] ; [0.720282, 0.920282] ; [1.18656, 1.38656]
[0.0162641, 0.216264] ; [0.719646, 0.919646] ; [1.18587, 1.38587]
[0.0200074, 0.220007] ; [0.719007, 0.919007] ; [1.18517, 1.38517]
[0.0236629, 0.223663] ; [0.718371, 0.918371] ; [1.18449, 1.38449]
[0.0272781, 0.227278] ; [0.717731, 0.917731] ; [1.1838, 1.3838]
[0.030799, 0.230799] ; [0.717096, 0.917096] ; [1.18311, 1.38311]
[0.0342875, 0.234288] ; [0.716455, 0.916455] ; [1.18243, 1.38243]
[0.0377187, 0.237719] ; [0.715813, 0.915813] ; [1.18174, 1.38174]
[0.0410449, 0.241045] ; [0.715179, 0.915179] ; [1.18106, 1.38106]
[0.04435, 0.24435] ; [0.714537, 0.914537] ; [1.18038, 1.38038]
[0.0474902, 0.24749] ; [0.713902, 0.913902] ; [1.17971, 1.37971]
[0.0506045, 0.250605] ; [0.71326, 0.91326] ; [1.17903, 1.37903]
[0.0536199, 0.25362] ; [0.712626, 0.912626] ; [1.17836, 1.37836]
[0.0565875, 0.256588] ; [0.711989, 0.911989] ; [1.17769, 1.37769]
[0.0595002, 0.2595] ; [0.711352, 0.911352] ; [1.17702, 1.37702]
[0.062379, 0.262379] ; [0.710708, 0.910708] ; [1.17635, 1.37635]
[0.0651736, 0.265174] ; [0.710069, 0.910069] ; [1.17568, 1.37568]
[0.0679053, 0.267905] ; [0.709432, 0.909432] ; [1.17502, 1.37502]
[0.0705744, 0.270574] ; [0.708795, 0.908795] ; [1.17435, 1.37435]
[0.0732695, 0.27327] ; [0.708138, 0.908138] ; [1.17367, 1.37367]
[0.0757538, 0.275754] ; [0.707518, 0.907518] ; [1.17303, 1.37303]
[0.0782651, 0.278265] ; [0.706877, 0.906877] ; [1.17237, 1.37237]
[0.0806911, 0.280691] ; [0.706244, 0.906244] ; [1.17172, 1.37172]
[0.0830625, 0.283062] ; [0.705609, 0.905609] ; [1.17106, 1.37106]
[0.0853971, 0.285397] ; [0.70497, 0.90497] ; [1.17041, 1.37041]
[0.0876425, 0.287643] ; [0.70434, 0.90434] ; [1.16976, 1.36976]
[0.0898645, 0.289865] ; [0.7037, 0.9037] ; [1.1691, 1.3691]
[0.0920252, 0.292025] ; [0.703062, 0.903062] ; [1.16845, 1.36845]
